EventTitle,URL
Santos vs Walker,https://www.ufc.com/event/ufc-fight-night-october-02-2021
Volkanovski vs Ortega,https://www.ufc.com/event/ufc-266
Smith vs Spann,https://www.ufc.com/event/ufc-fight-night-september-18-2021
Brunson vs Till,https://www.ufc.com/event/ufc-fight-night-september-04-2021
Barboza vs Chikadze,https://www.ufc.com/event/ufc-fight-night-august-28-2021
Cannonier vs Gastelum,https://www.ufc.com/event/ufc-fight-night-august-21-2021
Lewis vs Gane,https://www.ufc.com/event/ufc-265
Hall vs Strickland,https://www.ufc.com/event/ufc-fight-night-july-31-2021
Sandhagen vs Dillashaw,https://www.ufc.com/event/ufc-fight-night-july-24-2021
Makhachev vs Moises,https://www.ufc.com/event/ufc-fight-night-july-17-2021
Poirier vs McGregor,https://www.ufc.com/event/ufc-264
Gane vs Volkov,https://www.ufc.com/event/ufc-fight-night-june-26-2021
Jung vs Ige,https://www.ufc.com/event/ufc-fight-night-june-19-2021
Adesanya vs Vettori,https://www.ufc.com/event/ufc-263
Rozenstruik vs Sakai,https://www.ufc.com/event/ufc-fight-night-june-05-2021
Font vs Garbrandt,https://www.ufc.com/event/ufc-fight-night-may-22-2021
Oliveira vs Chandler,https://www.ufc.com/event/ufc-262
Rodriguez vs Waterson,https://www.ufc.com/event/ufc-fight-night-may-08-2021
Reyes vs Prochazka,https://www.ufc.com/event/ufc-fight-night-may-01-2021
Usman vs Masvidal,https://www.ufc.com/event/ufc-261
Whittaker vs Gastelum,https://www.ufc.com/event/ufc-fight-night-april-17-2021
Vettori vs Holland,https://www.ufc.com/event/ufc-fight-night-april-10-2021
Miocic vs Ngannou,https://www.ufc.com/event/ufc-260
Brunson vs Holland,https://www.ufc.com/event/ufc-fight-night-march-20-2021
Edwards vs Muhammad,https://www.ufc.com/event/ufc-fight-night-march-13-2021
Blachowicz vs Adesanya,https://www.ufc.com/event/ufc-259
Rozenstruik vs Gane,https://www.ufc.com/event/ufc-fight-night-february-27-2021
Blaydes vs Lewis,https://www.ufc.com/event/ufc-fight-night-february-20-2021
Usman vs Burns,https://www.ufc.com/event/ufc-258
Overeem vs Volkov,https://www.ufc.com/event/ufc-fight-night-february-6-2021
Poirier vs McGregor,https://www.ufc.com/event/ufc-257
Chiesa vs Magny,https://www.ufc.com/event/ufc-fight-night-january-20-2021
Holloway vs Kattar,https://www.ufc.com/event/ufc-fight-night-january-16-2021
Thompson vs Neal,https://www.ufc.com/event/ufc-fight-night-december-19-2020
Figueiredo vs Moreno,https://www.ufc.com/event/ufc-256
Hermansson vs Vettori,https://www.ufc.com/event/ufc-fight-night-december-05-2020
Smith vs Clark,https://www.ufc.com/event/ufc-fight-night-november-28-2020
Figueiredo vs Perez,https://www.ufc.com/event/ufc-255
Felder vs Dos Anjos,https://www.ufc.com/event/ufc-fight-night-november-14-2020
Santos vs Teixeira,https://www.ufc.com/event/ufc-fight-night-november-07-2020
Hall vs Silva,https://www.ufc.com/event/ufc-fight-night-october-31-2020
Khabib vs Gaethje,https://www.ufc.com/event/ufc-254
Ortega vs Jung,https://www.ufc.com/event/ufc-fight-night-october-17-2020
Moraes vs Sandhagen,https://www.ufc.com/event/ufc-fight-night-october-10-2020
Holm vs Aldana,https://www.ufc.com/event/ufc-fight-night-october-03-2020
Adesanya vs Costa,https://www.ufc.com/event/ufc-253
Covington vs Woodley,https://www.ufc.com/event/ufc-fight-night-september-19-2020
Waterson vs Hill,https://www.ufc.com/event/ufc-fight-night-september-12-2020
Overeem vs Sakai,https://www.ufc.com/event/ufc-fight-night-sept-05-2020
Smith vs Rakic,https://www.ufc.com/event/ufc-fight-night-august-29-2020
Munhoz vs Edgar,https://www.ufc.com/event/ufc-fight-night-august-22-2020
Miocic vs Cormier,https://www.ufc.com/event/ufc-252
